CustomerID,Part,Category,Quantity,DatePurchased,UnitPrice,SalesTotal
8042,Female Adapter1,Fitting,7,2025-04-26,1.5,10.5
9408,22.5* Elbow,Fitting,2,2025-08-05,0.8,1.6
9071,AdjustableWrench,Accessory,1,2025-03-15,15.0,15.0
7321,Tee SxSxFPT1/2,Fitting,3,2025-10-06,1.5,4.5
4280,Male Adapter3/4,Fitting,4,2025-09-28,1.25,5.0
1311,AdjustableWrench,Accessory,1,2025-01-21,15.0,15.0
4660,Female Adapter1/2,Fitting,1,2025-05-13,1.0,1.0
1229,GlueQTr,Accessory,1,2025-09-03,5.0,5.0
4403,Male Adapter1/2,Fitting,3,2025-08-21,1.0,3.0
1700,AdjustableWrench,Accessory,1,2025-08-03,15.0,15.0
5116,Tee SxSxS,Fitting,3,2025-08-24,1.25,3.75
2675,Female Adapter1/2,Fitting,6,2025-04-15,1.0,6.0
6704,22.5* Elbow,Fitting,4,2025-07-17,0.8,3.2
8835,GlueQT,Accessory,2,2025-04-15,5.0,10.0
9582,PrimerQT,Accessory,3,2025-03-05,6.0,18.0
6165,Male Adapter3/4,Fitting,3,2025-07-19,1.25,3.75
2763,Female Adapter1/2,Fitting,2,2025-10-03,1.0,2.0
8408,Tee SxSxFPT3/4,Fitting,3,2025-11-01,1.75,5.25
5160,Coupler,Fitting,10,2025-02-03,0.75,7.5
5101,Male Adapter3/4,Fitting,6,2025-07-13,1.25,7.5
4646,Male Adapter1,Fitting,3,2025-08-06,1.5,4.5
2231,22.5* Elbow,Fitting,1,2025-07-11,0.8,0.8
5268,Tee SxSxS,Fitting,5,2025-10-27,1.25,6.25
4801,GlueQT,Accessory,1,2025-09-17,5.0,5.0
9704,Coupler,Fitting,5,2025-03-17,0.75,3.75
2615,Coupler,Fitting,3,2025-03-13,0.75,2.25
8577,PrimerQT,Accessory,1,2025-01-15,6.0,6.0
3280,AdjustableWrench,Accessory,1,2025-04-24,15.0,15.0
6302,Male Adapter1/2,Fitting,7,2025-02-10,1.0,7.0
3586,Female Adapter3/4,Fitting,9,2025-06-11,1.25,11.25
9144,90* Elbow,Fitting,1,2025-07-26,0.85,0.85
6537,Tee SxSxS,Fitting,3,2025-02-23,1.25,3.75
3895,Male Adapter1/2,Fitting,2,2025-11-26,1.0,2.0
1494,GlueQT,Accessory,1,2025-08-03,5.0,5.0
5073,Male Adapter1/2,Fitting,1,2025-01-20,1.0,1.0
8128,Male Adapter1/2,Fitting,2,2025-03-23,1.0,2.0
9412,ThreadSealTape,Accessory,1,2025-03-09,2.5,2.5
6493,PrimerQTr,Accessory,2,2025-09-28,6.0,12.0
9991,Coupler,Fitting,9,2025-07-06,0.75,6.75
5228,45* Elbow,Fitting,4,2025-05-26,0.8,3.2
9037,ThreadSealTape,Accessory,1,2025-09-17,2.5,2.5
1336,Female Adapter1,Fitting,2,2025-07-14,1.5,3.0
7934,Coupler,Fitting,7,2025-08-20,0.75,5.25
1312,45* Elbow,Fitting,4,2025-08-21,0.8,3.2
9301,90* Elbow,Fitting,5,2025-08-11,0.85,4.25
1641,Male Adapter3/4,Fitting,6,2025-06-05,1.25,7.5
5994,Male Adapter1/2,Fitting,2,2025-04-25,1.0,2.0
4597,Female Adapter3/4,Fitting,6,2025-05-03,1.25,7.5
3252,ThreadSealTape,Accessory,2,2025-07-27,2.5,5.0
4387,22.5* Elbow,Fitting,6,2025-11-06,0.8,4.8
4491,Male Adapter3/4,Fitting,5,2025-10-06,1.25,6.25
9333,Male Adapter1/2,Fitting,4,2025-10-13,1.0,4.0
2571,Coupler,Fitting,3,2025-04-16,0.75,2.25
8228,Female Adapter3/4,Fitting,8,2025-07-07,1.25,10.0
7316,90* Elbow,Fitting,3,2025-09-14,0.85,2.55
9171,Male Adapter1/2,Fitting,2,2025-05-19,1.0,2.0
1128,45* Elbow,Fitting,2,2025-05-17,0.8,1.6
3415,Male Adapter1/2,Fitting,1,2025-06-06,1.0,1.0
3422,Tee SxSxS,Fitting,3,2025-03-27,1.25,3.75
7610,Female Adapter1,Fitting,5,2025-07-26,1.5,7.5
8736,Female Adapter1,Fitting,2,2025-05-16,1.5,3.0
3203,Male Adapter3/4,Fitting,3,2025-03-11,1.25,3.75
8777,AdjustableWrench,Accessory,3,2025-08-11,15.0,45.0
9675,45* Elbow,Fitting,1,2025-03-11,0.8,0.8
3783,45* Elbow,Fitting,8,2025-02-05,0.8,6.4
6587,Tee SxSxFPT3/4,Fitting,-2,2025-05-17,1.75,-3.5
9109,Male Adapter3/4,Fitting,1,2025-09-07,1.25,1.25
4819,22.5* Elbow,Fitting,8,2025-02-17,0.8,6.4
2975,AdjustableWrench,Accessory,1,2025-09-15,15.0,15.0
5443,45* Elbow,Fitting,7,2025-06-27,0.8,5.6
4123,ThreadSealTape,Accessory,1,2025-05-27,2.5,2.5
8569,Female Adapter1/2,Fitting,1,2025-04-18,1.0,1.0
4297,22.5* Elbow,Fitting,6,2025-08-10,0.8,4.8
6247,Tee SxSxFPT3/4,Fitting,2,2025-05-28,1.75,3.5
4867,Female Adapter3/4,Fitting,1,2025-04-17,1.25,1.25
1082,PrimerQT,Accessory,1,2025-02-16,6.0,6.0
7801,Male Adapter1/2,Fitting,3,2025-06-15,1.0,3.0
1926,AdjustableWrench,Accessory,1,2025-02-15,15.0,15.0
4117,GlueQT,Accessory,1,2025-09-13,5.0,5.0
8573,Female Adapter3/4,Fitting,5,2025-06-27,1.25,6.25
5601,Tee SxSxFPT3/4,Fitting,3,2025-05-18,1.75,5.25
6773,Female Adapter1/2,Fitting,2,2025-06-04,1.0,2.0
8619,PrimerQT,Accessory,1,2025-08-01,6.0,6.0
4978,Male Adapter1,Fitting,3,2025-04-09,1.5,4.5
2693,22.5* Elbow,Fitting,3,2025-09-14,0.8,2.4
3361,Female Adapter1/2,Fitting,1,2025-02-16,1.0,1.0
3255,Tee SxSxFPT1/2,Fitting,2,2025-05-21,1.5,3.0
6981,22.5* Elbow,Fitting,3,2025-06-26,0.8,2.4
7766,Female Adapter1/2,Fitting,3,2025-03-13,1.0,3.0
5727,Tee SxSxFPT3/4,Fitting,1,2025-10-27,1.75,1.75
3055,ThreadSealTape,Accessory,1,2025-10-24,2.5,2.5
9864,Female Adapter1,Fitting,-1,2025-12-19,1.5,-1.5
5220,Male Adapter1/2,Fitting,4,2025-05-09,1.0,4.0
7396,Female Adapter1/2,Fitting,1,2025-12-19,1.0,1.0
8429,ThreadSealTape,Accessory,1,2025-10-04,2.5,2.5
5382,Male Adapter1/2,Fitting,4,2025-05-28,1.0,4.0
8483,PrimerQT,Accessory,2,2025-08-20,6.0,12.0
8656,Female Adapter3/4,Fitting,2,2025-05-26,1.25,2.5
6074,AdjustableWrench,Accessory,1,2025-07-11,15.0,15.0
9970,AdjustableWrench,Accessory,1,2025-05-15,15.0,15.0
2876,45* Elbow,Fitting,1,2025-03-12,0.8,0.8
8180,Female Adapter1,Fitting,3,2025-03-03,1.5,4.5
1904,Male Adapter1,Fitting,1,2025-01-14,1.5,1.5
2725,Female Adapter1/2,Fitting,7,2025-01-06,1.0,7.0
8943,45* Elbow,Fitting,5,2025-03-08,0.8,4.0
3212,PrimerQT,Accessory,1,2025-07-18,6.0,6.0
5404,45* Elbow,Fitting,3,2025-04-11,0.8,2.4
1056,Coupler,Fitting,6,2025-05-03,0.75,4.5
9868,45* Elbowr,Fitting,9,2025-10-18,0.8,7.2
9081,Tee SxSxSr,Fitting,1,2025-04-24,1.25,1.25
8957,45* Elbow,Fitting,1,2025-12-23,0.8,0.8
4566,PrimerQT,Accessory,2,2025-03-04,6.0,12.0
1879,GlueQT,Accessory,2,2025-09-24,5.0,10.0
5407,Female Adapter3/4,Fitting,4,2025-04-28,1.25,5.0
4132,Male Adapter3/4,Fitting,-4,2025-06-16,1.25,-5.0
5779,22.5* Elbow,Fitting,1,2025-06-08,0.8,0.8
5998,Tee SxSxFPT3/4,Fitting,2,2025-08-17,1.75,3.5
5769,Female Adapter1/2,Fitting,5,2025-05-23,1.0,5.0
7017,GlueQT,Accessory,1,2025-06-04,5.0,5.0
4721,Tee SxSxFPT3/4,Fitting,9,2025-02-13,1.75,15.75
9441,PrimerQT,Accessory,2,2025-01-20,6.0,12.0
4853,Coupler,Fitting,4,2025-07-12,0.75,3.0
8230,Male Adapter1/2,Fitting,10,2025-03-28,1.0,10.0
9685,AdjustableWrench,Accessory,3,2025-12-12,15.0,45.0
6471,90* Elbow,Fitting,9,2025-06-21,0.85,7.65
7673,PrimerQT,Accessory,2,2025-08-15,6.0,12.0
